feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFITM3,62.594071647825665,2.3027286751813265,0.15821742809797268,14.554203685800102,5.492175054453792e-48,4.3080621127135544e-44
ISG15,41.156252324985545,2.2169275271763915,0.1579931098952961,14.03179878315944,9.959303881125652e-45,3.9060389821774806e-41
IFI6,38.41553624047072,2.1990877022509956,0.16066067826203875,13.687778030317208,1.201267789083791e-42,3.140914845857752e-39
EPSTI1,8.807960551838388,2.0152980200928337,0.15026668292077672,13.411476056574264,5.179752535988917e-41,1.0157494723074268e-37
LY6E,36.87237969935977,1.8730493477777526,0.14491085292348216,12.92552841964698,3.2306937684576334e-38,5.068312383956335e-35
IFI27,16.856300616346935,5.0114981572495845,0.4097220552808155,12.231458113268523,2.111145985157935e-34,2.759971517929807e-31
IFI44L,11.642701782975104,2.618308411883987,0.21533993086778933,12.15895445555581,5.141248092707949e-34,5.761135719885879e-31
IFI44,6.083412952477452,2.0730858242489303,0.17650580681412065,11.745142336490435,7.479645880110241e-32,7.062695962415096e-29
RPS28,273.43260303565586,-0.3501813643803701,0.029832203123212032,-11.738367526329249,8.103552226126449e-32,7.062695962415096e-29
TYMP,69.28146039461275,0.7828619370033503,0.06831849831296663,11.459003876476682,2.1193828084597402e-30,1.66244387495582e-27
MT2A,43.74493591310729,1.453288647065914,0.13013358290058993,11.167667981416393,5.87018412602508e-29,4.185974934958248e-26
TNFSF13B,24.2073336892219,0.6924034124899335,0.06452946438542961,10.73003501709328,7.356829222047766e-27,4.8089140348118894e-24
OAS1,4.471927484893469,1.7811233911548054,0.1718669181894563,10.363387031769527,3.638450331522038e-25,2.195384953881451e-22
RPS27,457.07148304364904,-0.34107296558419714,0.033133426812056055,-10.293923641489839,7.505424724472429e-25,4.2051822527686955e-22
FCER1G,107.31359221151818,0.45023065426530906,0.044245595463268055,10.17571691715807,2.5451878435442607e-24,1.3309635629840786e-21
RPS14,334.12675126716334,-0.27863125373954123,0.027441955451755876,-10.153476643797735,3.1976476875539027e-24,1.5676467788233009e-21
ANXA2,31.43866841645264,0.526531327632282,0.05393475052316391,9.762376251395604,1.6328370934483988e-22,7.534102447652494e-20
BLVRA,9.49272260449976,0.9452070882828718,0.09691746178125851,9.752701638185618,1.7962320317794436e-22,7.827580031821087e-20
XAF1,5.992673321204361,1.5779563911172845,0.1622691900565595,9.72431297997656,2.3750320730494406e-22,9.805132411052533e-20
RPS29,217.23923905412582,-0.39705768073218417,0.04187365179305399,-9.482279756599786,2.48787231058736e-21,9.757435202123627e-19
MX1,5.566451538230841,1.8337860771297052,0.19416242867547373,9.444597956666094,3.567712968149731e-21,1.272718633330017e-18
S100A10,90.65044029851293,0.4388304279817944,0.04646391303735065,9.444543072147939,3.569583112348339e-21,1.272718633330017e-18
RPS27A,249.8126074249485,-0.2761348100802444,0.029289253445027676,-9.427854164959017,4.1856399175915805e-21,1.4274851962429721e-18
OAS2,3.516613163691474,1.740815380634349,0.18633204882739068,9.342544085086292,9.40466671973096e-21,3.0737585728987356e-18
EIF4B,7.9851148628784605,-0.8433098962006056,0.0903108357498769,-9.337859507094143,9.830124404324553e-21,3.084299833100872e-18
IGSF6,14.440004168557838,0.7456792637154332,0.0808685235165707,9.220883865434205,2.946611814070955e-20,8.889701180604833e-18
RPS21,87.58142834239585,-0.37108879929508226,0.04032274879462894,-9.202963845175951,3.482100779220284e-20,1.0116147597112559e-17
ARPC3,58.455762837506924,0.33094680894278333,0.03623123269068845,9.134296140794508,6.583362157076705e-20,1.8442818842896314e-17
LAP3,9.197215576323147,1.0251290958620574,0.11237630971438647,9.122288304959527,7.3554551687142e-20,1.989523804944627e-17
